ID,sky_x,sky_y,slit_x,frd_throughput,flux_throughput
1,-2.38,-1.98,-32.60,0.63,0.77
2,-2.03,-1.98,-32.17,0.65,0.78
3,-1.64,-2.02,-47.93,0.62,0.79
4,-1.28,-2.02,-40.03,0.65,0.79
6,-0.53,-2.03,-4.86,0.56,0.79
7,-0.16,-2.03,-12.79,0.59,0.79
8,0.21,-2.03,29.65,0.64,0.81
9,0.58,-2.03,30.89,0.70,0.80
10,0.95,-2.03,19.58,0.71,0.80
11,1.32,-2.03,19.98,0.59,0.77
12,1.70,-2.03,19.17,0.66,0.79
13,2.06,-2.03,7.63,0.63,0.80
14,2.44,-2.03,4.45,0.59,0.79
15,2.62,-1.68,10.04,0.65,0.79
16,2.24,-1.68,10.81,0.58,0.78
17,1.87,-1.68,14.81,0.65,0.78
18,1.51,-1.70,20.77,0.72,0.80
19,1.13,-1.71,17.58,0.68,0.78
20,0.75,-1.68,30.07,0.69,0.79
21,0.38,-1.68,31.31,0.71,0.80
22,0.01,-1.68,30.48,0.71,0.79
23,-0.34,-1.69,-9.62,0.63,0.78
24,-0.73,-1.69,-10.00,0.68,0.80
25,-1.09,-1.69,-3.66,0.69,0.80
26,-1.47,-1.69,-45.02,0.64,0.77
27,-1.83,-1.67,-49.59,0.66,0.77
28,-2.20,-1.67,-27.63,0.65,0.79
29,-2.56,-1.67,-29.27,0.65,0.77
30,-2.75,-1.35,-30.93,0.66,0.77
31,-2.38,-1.35,-31.76,0.66,0.79
32,-2.01,-1.35,-43.78,0.71,0.79
33,-1.64,-1.37,-43.37,0.70,0.79
34,-1.27,-1.37,-11.21,0.66,0.78
35,-0.91,-1.39,-11.62,0.68,0.79
36,-0.54,-1.39,-17.18,0.69,0.78
37,-0.16,-1.39,-24.72,0.69,0.80
38,0.21,-1.39,50.93,0.62,0.78
39,0.57,-1.39,27.58,0.62,0.81
40,0.93,-1.39,32.99,0.59,0.80
41,1.30,-1.37,33.41,0.69,0.80
42,1.69,-1.37,22.36,0.70,0.79
43,2.07,-1.37,21.57,0.69,0.80
44,2.43,-1.35,4.06,0.62,0.79
45,2.79,-1.37,0.87,0.69,0.74
46,2.97,-1.06,2.06,0.64,0.80
47,2.59,-1.06,9.64,0.64,0.81
48,2.22,-1.06,16.79,0.72,0.78
49,1.84,-1.06,21.16,0.72,0.77
50,1.48,-1.06,28.40,0.73,0.81
51,1.11,-1.06,29.23,0.71,0.81
52,0.74,-1.09,50.52,0.66,0.78
53,0.37,-1.09,45.08,0.70,0.78
54,-0.01,-1.09,52.56,0.80,0.39
55,-0.39,-1.09,-22.73,0.69,0.79
57,-1.11,-1.07,-12.41,0.69,0.79
58,-1.48,-1.07,-5.64,0.70,0.80
59,-1.84,-1.05,-45.43,0.70,0.79
60,-2.21,-1.05,-44.20,0.70,0.80
61,-2.58,-1.05,-28.46,0.68,0.80
62,-2.96,-1.05,-28.04,0.66,0.79
63,-3.14,-0.71,-30.11,0.66,0.78
64,-2.76,-0.73,-31.35,0.65,0.77
65,-2.39,-0.73,-41.70,0.71,0.76
